BldgType,BldgVint,BldgLoc,Area
SFm,1975,CZ01,4315
SFm,1975,CZ02,4315
SFm,1975,CZ03,4315
SFm,1975,CZ04,4315
SFm,1975,CZ05,4315
SFm,1975,CZ06,4504
SFm,1975,CZ07,4504
SFm,1975,CZ08,4504
SFm,1975,CZ09,3855
SFm,1975,CZ10,3855
SFm,1975,CZ11,3652
SFm,1975,CZ12,3652
SFm,1975,CZ13,3652
SFm,1975,CZ14,3143
SFm,1975,CZ15,3143
SFm,1975,CZ16,4315
SFm,1985,CZ01,3800
SFm,1985,CZ02,3800
SFm,1985,CZ03,3800
SFm,1985,CZ04,3800
SFm,1985,CZ05,3800
SFm,1985,CZ06,4715
SFm,1985,CZ07,4715
SFm,1985,CZ08,4715
SFm,1985,CZ09,4137
SFm,1985,CZ10,4137
SFm,1985,CZ11,3575
SFm,1985,CZ12,3575
SFm,1985,CZ13,3575
SFm,1985,CZ14,3253
SFm,1985,CZ15,3253
SFm,1985,CZ16,3800
DMo,1975,CZ01,2484
DMo,1975,CZ02,2484
DMo,1975,CZ03,2484
DMo,1975,CZ04,2484
DMo,1975,CZ05,2484
DMo,1975,CZ06,2484
DMo,1975,CZ07,2484
DMo,1975,CZ08,2484
DMo,1975,CZ09,2484
DMo,1975,CZ10,2484
DMo,1975,CZ11,2484
DMo,1975,CZ12,2484
DMo,1975,CZ13,2484
DMo,1975,CZ14,2484
DMo,1975,CZ15,2484
DMo,1975,CZ16,2484
DMo,1985,CZ01,2484
DMo,1985,CZ02,2484
DMo,1985,CZ03,2484
DMo,1985,CZ04,2484
DMo,1985,CZ05,2484
DMo,1985,CZ06,2484
DMo,1985,CZ07,2484
DMo,1985,CZ08,2484
DMo,1985,CZ09,2484
DMo,1985,CZ10,2484
DMo,1985,CZ11,2484
DMo,1985,CZ12,2484
DMo,1985,CZ13,2484
DMo,1985,CZ14,2484
DMo,1985,CZ15,2484
DMo,1985,CZ16,2484
MFm,1975,CZ01,24576
MFm,1975,CZ02,24576
MFm,1975,CZ03,24576
MFm,1975,CZ04,24576
MFm,1975,CZ05,24576
MFm,1975,CZ06,24576
MFm,1975,CZ07,24576
MFm,1975,CZ08,24576
MFm,1975,CZ09,24576
MFm,1975,CZ10,24576
MFm,1975,CZ11,24576
MFm,1975,CZ12,24576
MFm,1975,CZ13,24576
MFm,1975,CZ14,24576
MFm,1975,CZ15,24576
MFm,1975,CZ16,24576
MFm,1985,CZ01,24576
MFm,1985,CZ02,24576
MFm,1985,CZ03,24576
MFm,1985,CZ04,24576
MFm,1985,CZ05,24576
MFm,1985,CZ06,24576
MFm,1985,CZ07,24576
MFm,1985,CZ08,24576
MFm,1985,CZ09,24576
MFm,1985,CZ10,24576
MFm,1985,CZ11,24576
MFm,1985,CZ12,24576
MFm,1985,CZ13,24576
MFm,1985,CZ14,24576
MFm,1985,CZ15,24576
MFm,1985,CZ16,24576
MFm,Ex,CZ01,24576
MFm,Ex,CZ02,24576
MFm,Ex,CZ03,24576
MFm,Ex,CZ04,24576
MFm,Ex,CZ05,24576
MFm,Ex,CZ06,24576
MFm,Ex,CZ07,24576
MFm,Ex,CZ08,24576
MFm,Ex,CZ09,24576
MFm,Ex,CZ10,24576
MFm,Ex,CZ11,24576
MFm,Ex,CZ12,24576
MFm,Ex,CZ13,24576
MFm,Ex,CZ14,24576
MFm,Ex,CZ15,24576
MFm,Ex,CZ16,24576
MFm,New,CZ01,24576
MFm,New,CZ02,24576
MFm,New,CZ03,24576
MFm,New,CZ04,24576
MFm,New,CZ05,24576
MFm,New,CZ06,24576
MFm,New,CZ07,24576
MFm,New,CZ08,24576
MFm,New,CZ09,24576
MFm,New,CZ10,24576
MFm,New,CZ11,24576
MFm,New,CZ12,24576
MFm,New,CZ13,24576
MFm,New,CZ14,24576
MFm,New,CZ15,24576
MFm,New,CZ16,24576
SFm,New,CZ01,4942
SFm,New,CZ02,4070
SFm,New,CZ03,4942
SFm,New,CZ04,4942
SFm,New,CZ05,4942
SFm,New,CZ06,5233
SFm,New,CZ07,5233
SFm,New,CZ08,5233
SFm,New,CZ09,5233
SFm,New,CZ10,4070
SFm,New,CZ11,4070
SFm,New,CZ12,4070
SFm,New,CZ13,4070
SFm,New,CZ14,3489
SFm,New,CZ15,3489
SFm,New,CZ16,4942
DMo,Ex,CZ01,2484
DMo,Ex,CZ02,2484
DMo,Ex,CZ03,2484
DMo,Ex,CZ04,2484
DMo,Ex,CZ05,2484
DMo,Ex,CZ06,2484
DMo,Ex,CZ07,2484
DMo,Ex,CZ08,2484
DMo,Ex,CZ09,2484
DMo,Ex,CZ10,2484
DMo,Ex,CZ11,2484
DMo,Ex,CZ12,2484
DMo,Ex,CZ13,2484
DMo,Ex,CZ14,2484
DMo,Ex,CZ15,2484
DMo,Ex,CZ16,2484
DMo,New,CZ01,2484
DMo,New,CZ02,2484
DMo,New,CZ03,2484
DMo,New,CZ04,2484
DMo,New,CZ05,2484
DMo,New,CZ06,2484
DMo,New,CZ07,2484
DMo,New,CZ08,2484
DMo,New,CZ09,2484
DMo,New,CZ10,2484
DMo,New,CZ11,2484
DMo,New,CZ12,2484
DMo,New,CZ13,2484
DMo,New,CZ14,2484
DMo,New,CZ15,2484
DMo,New,CZ16,2484
