pa,bldgtype,era,bldgloc,sum_bldg
Any,Asm,Ex,CZ01,1.084
Any,Asm,Ex,CZ02,10.34
Any,Asm,Ex,CZ03,51.454
Any,Asm,Ex,CZ04,28.022
Any,Asm,Ex,CZ05,4.307
Any,Asm,Ex,CZ06,85.434
Any,Asm,Ex,CZ07,19.953
Any,Asm,Ex,CZ08,125.837
Any,Asm,Ex,CZ09,84.042
Any,Asm,Ex,CZ10,80.135
Any,Asm,Ex,CZ11,7.826
Any,Asm,Ex,CZ12,30.02
Any,Asm,Ex,CZ13,27.438
Any,Asm,Ex,CZ14,15.591
Any,Asm,Ex,CZ15,25.638
Any,Asm,Ex,CZ16,10.764
Any,Asm,New,CZ01,0.009
Any,Asm,New,CZ02,0.067
Any,Asm,New,CZ03,0.261
Any,Asm,New,CZ04,0.199
Any,Asm,New,CZ05,0.032
Any,Asm,New,CZ06,0.781
Any,Asm,New,CZ07,0.286
Any,Asm,New,CZ08,1.142
Any,Asm,New,CZ09,0.74
Any,Asm,New,CZ10,1.607
Any,Asm,New,CZ11,0.081
Any,Asm,New,CZ12,0.26
Any,Asm,New,CZ13,0.304
Any,Asm,New,CZ14,0.248
Any,Asm,New,CZ15,0.533
Any,Asm,New,CZ16,0.169
Any,ECC,Ex,CZ01,1.816
Any,ECC,Ex,CZ02,4.888
Any,ECC,Ex,CZ03,24.14
Any,ECC,Ex,CZ04,6.096
Any,ECC,Ex,CZ05,4.647
Any,ECC,Ex,CZ06,30.314
Any,ECC,Ex,CZ07,11.918
Any,ECC,Ex,CZ08,49.831
Any,ECC,Ex,CZ09,27.542
Any,ECC,Ex,CZ10,17.938
Any,ECC,Ex,CZ11,6.069
Any,ECC,Ex,CZ12,8.606
Any,ECC,Ex,CZ13,12.211
Any,ECC,Ex,CZ14,5.048
Any,ECC,Ex,CZ15,4.13
Any,ECC,Ex,CZ16,9.421
Any,ECC,New,CZ01,0.008
Any,ECC,New,CZ02,0.038
Any,ECC,New,CZ03,0.143
Any,ECC,New,CZ04,0.051
Any,ECC,New,CZ05,0.04
Any,ECC,New,CZ06,0.228
Any,ECC,New,CZ07,0.118
Any,ECC,New,CZ08,0.363
Any,ECC,New,CZ09,0.163
Any,ECC,New,CZ10,0.247
Any,ECC,New,CZ11,0.058
Any,ECC,New,CZ12,0.08
Any,ECC,New,CZ13,0.144
Any,ECC,New,CZ14,0.071
Any,ECC,New,CZ15,0.062
Any,ECC,New,CZ16,0.139
Any,EPr,Ex,CZ01,0.715
Any,EPr,Ex,CZ02,5.242
Any,EPr,Ex,CZ03,19.915
Any,EPr,Ex,CZ04,10.253
Any,EPr,Ex,CZ05,1.56
Any,EPr,Ex,CZ06,26.989
Any,EPr,Ex,CZ07,8.429
Any,EPr,Ex,CZ08,46.996
Any,EPr,Ex,CZ09,34.417
Any,EPr,Ex,CZ10,34.535
Any,EPr,Ex,CZ11,4.643
Any,EPr,Ex,CZ12,16.156
Any,EPr,Ex,CZ13,18.408
Any,EPr,Ex,CZ14,7.812
Any,EPr,Ex,CZ15,2.68
Any,EPr,Ex,CZ16,4.307
Any,EPr,New,CZ01,0.004
Any,EPr,New,CZ02,0.026
Any,EPr,New,CZ03,0.078
Any,EPr,New,CZ04,0.053
Any,EPr,New,CZ05,0.009
Any,EPr,New,CZ06,0.111
Any,EPr,New,CZ07,0.048
Any,EPr,New,CZ08,0.197
Any,EPr,New,CZ09,0.14
Any,EPr,New,CZ10,0.312
Any,EPr,New,CZ11,0.044
Any,EPr,New,CZ12,0.134
Any,EPr,New,CZ13,0.167
Any,EPr,New,CZ14,0.065
Any,EPr,New,CZ15,0.027
Any,EPr,New,CZ16,0.04
Any,ERC,Ex,CZ01,0.715
Any,ERC,Ex,CZ02,5.242
Any,ERC,Ex,CZ03,19.915
Any,ERC,Ex,CZ04,10.253
Any,ERC,Ex,CZ05,1.56
Any,ERC,Ex,CZ06,26.989
Any,ERC,Ex,CZ07,8.429
Any,ERC,Ex,CZ08,46.996
Any,ERC,Ex,CZ09,34.417
Any,ERC,Ex,CZ10,34.535
Any,ERC,Ex,CZ11,4.643
Any,ERC,Ex,CZ12,16.156
Any,ERC,Ex,CZ13,18.408
Any,ERC,Ex,CZ14,7.812
Any,ERC,Ex,CZ15,2.68
Any,ERC,Ex,CZ16,4.307
Any,ERC,New,CZ01,0.004
Any,ERC,New,CZ02,0.026
Any,ERC,New,CZ03,0.078
Any,ERC,New,CZ04,0.053
Any,ERC,New,CZ05,0.009
Any,ERC,New,CZ06,0.111
Any,ERC,New,CZ07,0.048
Any,ERC,New,CZ08,0.197
Any,ERC,New,CZ09,0.14
Any,ERC,New,CZ10,0.312
Any,ERC,New,CZ11,0.044
Any,ERC,New,CZ12,0.134
Any,ERC,New,CZ13,0.167
Any,ERC,New,CZ14,0.065
Any,ERC,New,CZ15,0.027
Any,ERC,New,CZ16,0.04
Any,ESe,Ex,CZ01,0.715
Any,ESe,Ex,CZ02,5.242
Any,ESe,Ex,CZ03,19.915
Any,ESe,Ex,CZ04,10.253
Any,ESe,Ex,CZ05,1.56
Any,ESe,Ex,CZ06,26.989
Any,ESe,Ex,CZ07,8.429
Any,ESe,Ex,CZ08,46.996
Any,ESe,Ex,CZ09,34.417
Any,ESe,Ex,CZ10,34.535
Any,ESe,Ex,CZ11,4.643
Any,ESe,Ex,CZ12,16.156
Any,ESe,Ex,CZ13,18.408
Any,ESe,Ex,CZ14,7.812
Any,ESe,Ex,CZ15,2.68
Any,ESe,Ex,CZ16,4.307
Any,ESe,New,CZ01,0.004
Any,ESe,New,CZ02,0.026
Any,ESe,New,CZ03,0.078
Any,ESe,New,CZ04,0.053
Any,ESe,New,CZ05,0.009
Any,ESe,New,CZ06,0.111
Any,ESe,New,CZ07,0.048
Any,ESe,New,CZ08,0.197
Any,ESe,New,CZ09,0.14
Any,ESe,New,CZ10,0.312
Any,ESe,New,CZ11,0.044
Any,ESe,New,CZ12,0.134
Any,ESe,New,CZ13,0.167
Any,ESe,New,CZ14,0.065
Any,ESe,New,CZ15,0.027
Any,ESe,New,CZ16,0.04
Any,EUD,Ex,CZ01,1.816
Any,EUD,Ex,CZ02,4.888
Any,EUD,Ex,CZ03,24.14
Any,EUD,Ex,CZ04,6.096
Any,EUD,Ex,CZ05,4.647
Any,EUD,Ex,CZ06,30.314
Any,EUD,Ex,CZ07,11.918
Any,EUD,Ex,CZ08,49.831
Any,EUD,Ex,CZ09,27.542
Any,EUD,Ex,CZ10,17.938
Any,EUD,Ex,CZ11,6.069
Any,EUD,Ex,CZ12,8.606
Any,EUD,Ex,CZ13,12.211
Any,EUD,Ex,CZ14,5.048
Any,EUD,Ex,CZ15,4.13
Any,EUD,Ex,CZ16,9.421
Any,EUD,New,CZ01,0.008
Any,EUD,New,CZ02,0.038
Any,EUD,New,CZ03,0.143
Any,EUD,New,CZ04,0.051
Any,EUD,New,CZ05,0.04
Any,EUD,New,CZ06,0.228
Any,EUD,New,CZ07,0.118
Any,EUD,New,CZ08,0.363
Any,EUD,New,CZ09,0.163
Any,EUD,New,CZ10,0.247
Any,EUD,New,CZ11,0.058
Any,EUD,New,CZ12,0.08
Any,EUD,New,CZ13,0.144
Any,EUD,New,CZ14,0.071
Any,EUD,New,CZ15,0.062
Any,EUD,New,CZ16,0.139
Any,EUn,Ex,CZ01,1.816
Any,EUn,Ex,CZ02,4.888
Any,EUn,Ex,CZ03,24.14
Any,EUn,Ex,CZ04,6.096
Any,EUn,Ex,CZ05,4.647
Any,EUn,Ex,CZ06,30.314
Any,EUn,Ex,CZ07,11.918
Any,EUn,Ex,CZ08,49.831
Any,EUn,Ex,CZ09,27.542
Any,EUn,Ex,CZ10,17.938
Any,EUn,Ex,CZ11,6.069
Any,EUn,Ex,CZ12,8.606
Any,EUn,Ex,CZ13,12.211
Any,EUn,Ex,CZ14,5.048
Any,EUn,Ex,CZ15,4.13
Any,EUn,Ex,CZ16,9.421
Any,EUn,New,CZ01,0.008
Any,EUn,New,CZ02,0.038
Any,EUn,New,CZ03,0.143
Any,EUn,New,CZ04,0.051
Any,EUn,New,CZ05,0.04
Any,EUn,New,CZ06,0.228
Any,EUn,New,CZ07,0.118
Any,EUn,New,CZ08,0.363
Any,EUn,New,CZ09,0.163
Any,EUn,New,CZ10,0.247
Any,EUn,New,CZ11,0.058
Any,EUn,New,CZ12,0.08
Any,EUn,New,CZ13,0.144
Any,EUn,New,CZ14,0.071
Any,EUn,New,CZ15,0.062
Any,EUn,New,CZ16,0.139
Any,Gro,Ex,CZ01,1.185
Any,Gro,Ex,CZ02,8.653
Any,Gro,Ex,CZ03,30.1
Any,Gro,Ex,CZ04,13.504
Any,Gro,Ex,CZ05,4.082
Any,Gro,Ex,CZ06,55.946
Any,Gro,Ex,CZ07,21.966
Any,Gro,Ex,CZ08,81.523
Any,Gro,Ex,CZ09,57.526
Any,Gro,Ex,CZ10,67.854
Any,Gro,Ex,CZ11,8.217
Any,Gro,Ex,CZ12,26.295
Any,Gro,Ex,CZ13,26.916
Any,Gro,Ex,CZ14,14.007
Any,Gro,Ex,CZ15,8.273
Any,Gro,Ex,CZ16,6.916
Any,Gro,New,CZ01,0.009
Any,Gro,New,CZ02,0.068
Any,Gro,New,CZ03,0.218
Any,Gro,New,CZ04,0.11
Any,Gro,New,CZ05,0.035
Any,Gro,New,CZ06,0.558
Any,Gro,New,CZ07,0.288
Any,Gro,New,CZ08,0.809
Any,Gro,New,CZ09,0.59
Any,Gro,New,CZ10,1.122
Any,Gro,New,CZ11,0.095
Any,Gro,New,CZ12,0.271
Any,Gro,New,CZ13,0.345
Any,Gro,New,CZ14,0.222
Any,Gro,New,CZ15,0.141
Any,Gro,New,CZ16,0.102
