ver,pa,bldgtype,bldgloc,bldgvint,wt_vint,era
DEER2019,Any,Asm,CZ01,1975,0.491,Old
DEER2019,Any,Asm,CZ01,1985,0.233,Old
DEER2019,Any,Asm,CZ01,1996,0.158,Old
DEER2019,Any,Asm,CZ01,2003,0.071,Ex
DEER2019,Any,Asm,CZ01,2007,0.035,Ex
DEER2019,Any,Asm,CZ01,2011,0.035,Ex
DEER2019,Any,Asm,CZ01,2015,0.026,Ex
DEER2019,Any,Asm,CZ01,2017,0.026,Rec
DEER2023,Any,Asm,CZ01,2020,0.018,Rec
DEER2023,Any,Asm,CZ01,2023,0.009,New
DEER2019,Any,Asm,CZ02,1975,5.202,Old
DEER2019,Any,Asm,CZ02,1985,2.346,Old
DEER2019,Any,Asm,CZ02,1996,1.186,Old
DEER2019,Any,Asm,CZ02,2003,0.597,Ex
DEER2019,Any,Asm,CZ02,2007,0.269,Ex
DEER2019,Any,Asm,CZ02,2011,0.269,Ex
DEER2019,Any,Asm,CZ02,2015,0.202,Ex
DEER2019,Any,Asm,CZ02,2017,0.202,Rec
DEER2023,Any,Asm,CZ02,2020,0.134,Rec
DEER2023,Any,Asm,CZ02,2023,0.067,New
DEER2019,Any,Asm,CZ03,1975,29.94,Old
DEER2019,Any,Asm,CZ03,1985,8.93,Old
DEER2019,Any,Asm,CZ03,1996,5.631,Old
DEER2019,Any,Asm,CZ03,2003,3.032,Ex
DEER2019,Any,Asm,CZ03,2007,1.046,Ex
DEER2019,Any,Asm,CZ03,2011,1.046,Ex
DEER2019,Any,Asm,CZ03,2015,0.784,Ex
DEER2019,Any,Asm,CZ03,2017,0.784,Rec
DEER2023,Any,Asm,CZ03,2020,0.522,Rec
DEER2023,Any,Asm,CZ03,2023,0.261,New
DEER2019,Any,Asm,CZ04,1975,13.005,Old
DEER2019,Any,Asm,CZ04,1985,7.296,Old
DEER2019,Any,Asm,CZ04,1996,3.172,Old
DEER2019,Any,Asm,CZ04,2003,1.566,Ex
DEER2019,Any,Asm,CZ04,2007,0.795,Ex
DEER2019,Any,Asm,CZ04,2011,0.795,Ex
DEER2019,Any,Asm,CZ04,2015,0.597,Ex
DEER2019,Any,Asm,CZ04,2017,0.597,Rec
DEER2023,Any,Asm,CZ04,2020,0.398,Rec
DEER2023,Any,Asm,CZ04,2023,0.199,New
DEER2019,Any,Asm,CZ05,1975,1.983,Old
DEER2019,Any,Asm,CZ05,1985,1.102,Old
DEER2019,Any,Asm,CZ05,1996,0.491,Old
DEER2019,Any,Asm,CZ05,2003,0.243,Ex
DEER2019,Any,Asm,CZ05,2007,0.131,Ex
DEER2019,Any,Asm,CZ05,2011,0.131,Ex
DEER2019,Any,Asm,CZ05,2015,0.097,Ex
DEER2019,Any,Asm,CZ05,2017,0.097,Rec
DEER2023,Any,Asm,CZ05,2020,0.064,Rec
DEER2023,Any,Asm,CZ05,2023,0.032,New
DEER2019,Any,Asm,CZ06,1975,38.308,Old
DEER2019,Any,Asm,CZ06,1985,20.363,Old
DEER2019,Any,Asm,CZ06,1996,10.073,Old
DEER2019,Any,Asm,CZ06,2003,4.977,Ex
DEER2019,Any,Asm,CZ06,2007,3.124,Ex
DEER2019,Any,Asm,CZ06,2011,3.124,Ex
DEER2019,Any,Asm,CZ06,2015,2.342,Ex
DEER2019,Any,Asm,CZ06,2017,2.342,Rec
DEER2023,Any,Asm,CZ06,2020,1.562,Rec
DEER2023,Any,Asm,CZ06,2023,0.781,New
DEER2019,Any,Asm,CZ07,1975,3.896,Old
DEER2019,Any,Asm,CZ07,1985,5.952,Old
DEER2019,Any,Asm,CZ07,1996,3.888,Old
DEER2019,Any,Asm,CZ07,2003,1.935,Ex
DEER2019,Any,Asm,CZ07,2007,1.142,Ex
DEER2019,Any,Asm,CZ07,2011,1.142,Ex
DEER2019,Any,Asm,CZ07,2015,0.856,Ex
DEER2019,Any,Asm,CZ07,2017,0.856,Rec
DEER2023,Any,Asm,CZ07,2020,0.572,Rec
DEER2023,Any,Asm,CZ07,2023,0.286,New
DEER2019,Any,Asm,CZ08,1975,56.735,Old
DEER2019,Any,Asm,CZ08,1985,29.819,Old
DEER2019,Any,Asm,CZ08,1996,14.824,Old
DEER2019,Any,Asm,CZ08,2003,7.329,Ex
DEER2019,Any,Asm,CZ08,2007,4.568,Ex
DEER2019,Any,Asm,CZ08,2011,4.568,Ex
DEER2019,Any,Asm,CZ08,2015,3.426,Ex
DEER2019,Any,Asm,CZ08,2017,3.426,Rec
DEER2023,Any,Asm,CZ08,2020,2.284,Rec
DEER2023,Any,Asm,CZ08,2023,1.142,New
DEER2019,Any,Asm,CZ09,1975,38.377,Old
DEER2019,Any,Asm,CZ09,1985,18.807,Old
DEER2019,Any,Asm,CZ09,1996,10.565,Old
DEER2019,Any,Asm,CZ09,2003,5.205,Ex
DEER2019,Any,Asm,CZ09,2007,2.956,Ex
DEER2019,Any,Asm,CZ09,2011,2.956,Ex
DEER2019,Any,Asm,CZ09,2015,2.218,Ex
