bldgtype,era,bldgloc,sum_bldg
DMo,Ex,CZ01,780.6
DMo,Ex,CZ02,6141.8
DMo,Ex,CZ03,22140.1
DMo,Ex,CZ04,5202.5
DMo,Ex,CZ05,969
DMo,Ex,CZ06,2280.5
DMo,Ex,CZ07,1792.5
DMo,Ex,CZ08,13824.4
DMo,Ex,CZ09,24005.5
DMo,Ex,CZ10,40432.1
DMo,Ex,CZ11,24424.1
DMo,Ex,CZ12,18731.9
DMo,Ex,CZ13,38602.6
DMo,Ex,CZ14,22585.1
DMo,Ex,CZ15,12343.2
DMo,Ex,CZ16,8715.2
MFm,Ex,CZ01,13460.8
MFm,Ex,CZ02,70611
MFm,Ex,CZ03,573727.7
MFm,Ex,CZ04,176129.8
MFm,Ex,CZ05,24782.6
MFm,Ex,CZ06,419878
MFm,Ex,CZ07,332118.3
MFm,Ex,CZ08,441480.9
MFm,Ex,CZ09,745034.8
MFm,Ex,CZ10,218832.3
MFm,Ex,CZ11,53032.5
MFm,Ex,CZ12,245608.3
MFm,Ex,CZ13,142962.4
MFm,Ex,CZ14,22588.7
MFm,Ex,CZ15,34178.6
MFm,Ex,CZ16,16809.4
SFm,Ex,CZ01,53328.4
SFm,Ex,CZ02,307518.1
SFm,Ex,CZ03,923822.7
SFm,Ex,CZ04,387859.6
SFm,Ex,CZ05,76903.9
SFm,Ex,CZ06,700930.5
SFm,Ex,CZ07,485094.3
SFm,Ex,CZ08,774539.9
SFm,Ex,CZ09,1152106.3
SFm,Ex,CZ10,936509.2
SFm,Ex,CZ11,340752.9
SFm,Ex,CZ12,1213442
SFm,Ex,CZ13,581667.1
SFm,Ex,CZ14,256774.9
SFm,Ex,CZ15,88571.7
SFm,Ex,CZ16,125392.2
DMo,Ex,IOU,242971.1
MFm,Ex,IOU,3531236.1
SFm,Ex,IOU,8405213.7
DMo,New,CZ01,0.579510022
DMo,New,CZ02,138.480777
DMo,New,CZ03,182.5607168
DMo,New,CZ04,283.8477399
DMo,New,CZ05,17.20692577
DMo,New,CZ06,189.4727893
DMo,New,CZ07,37.8434227
DMo,New,CZ08,311.6537392
DMo,New,CZ09,825.3750148
DMo,New,CZ10,592.4090154
DMo,New,CZ11,350.7936692
DMo,New,CZ12,332.1167818
DMo,New,CZ13,287.5482416
DMo,New,CZ14,209.0524857
DMo,New,CZ15,600.5849646
DMo,New,CZ16,90.61442487
MFm,New,CZ01,506.7829871
MFm,New,CZ02,1319.200798
MFm,New,CZ03,4112.522662
MFm,New,CZ04,1633.124318
MFm,New,CZ05,2.061094478
MFm,New,CZ06,3552.972685
MFm,New,CZ07,3015.704285
MFm,New,CZ08,4853.000043
MFm,New,CZ09,4521.856341
MFm,New,CZ10,1095.986178
MFm,New,CZ11,131.3953158
MFm,New,CZ12,2529.786604
MFm,New,CZ13,522.7558409
MFm,New,CZ14,1.976667736
MFm,New,CZ15,1.308054804
MFm,New,CZ16,2.362751253
SFm,New,CZ01,691.5931491
SFm,New,CZ02,752.1796459
SFm,New,CZ03,2027.365534
SFm,New,CZ04,1786.095644
SFm,New,CZ05,234.6972151
SFm,New,CZ06,4614.874236
SFm,New,CZ07,2864.734173
SFm,New,CZ08,2119.690349
SFm,New,CZ09,2676.738276
SFm,New,CZ10,8329.538479
SFm,New,CZ11,2777.890528
SFm,New,CZ12,7434.653242
SFm,New,CZ13,3783.738493
SFm,New,CZ14,942.9039361
SFm,New,CZ15,297.2700893
SFm,New,CZ16,230.6417767
DMo,New,IOU,5853.797367
MFm,New,IOU,27835.01777
SFm,New,IOU,41817.76241
