pa,bldgtype,bldgloc,bldghvac,wtval
Any,DMo,CZ01,rDXGF,115.5000
Any,DMo,CZ01,rDXHP,16.5000
Any,DMo,CZ01,rDXOH,28.0000
Any,DMo,CZ01,rNCEH,117.9000
Any,DMo,CZ01,rNCGF,825.6000
Any,DMo,CZ01,rNCOH,200.5000
Any,DMo,CZ02,rDXGF,10589.7000
Any,DMo,CZ02,rDXHP,1512.8000
Any,DMo,CZ02,rDXOH,2571.8000
Any,DMo,CZ02,rNCEH,144.6000
Any,DMo,CZ02,rNCGF,1012.0000
Any,DMo,CZ02,rNCOH,245.8000
Any,DMo,CZ03,rDXGF,5427.9000
Any,DMo,CZ03,rDXHP,775.4000
Any,DMo,CZ03,rDXOH,1318.2000
Any,DMo,CZ03,rNCEH,613.6000
Any,DMo,CZ03,rNCGF,4295.5000
Any,DMo,CZ03,rNCOH,1043.2000
Any,DMo,CZ04,rDXGF,3017.8000
Any,DMo,CZ04,rDXHP,431.1000
Any,DMo,CZ04,rDXOH,732.9000
Any,DMo,CZ04,rNCEH,147.1000
Any,DMo,CZ04,rNCGF,1029.7000
Any,DMo,CZ04,rNCOH,250.1000
Any,DMo,CZ05,rDXGF,452.9000
Any,DMo,CZ05,rDXHP,64.7000
Any,DMo,CZ05,rDXOH,110.0000
Any,DMo,CZ05,rNCEH,353.3000
Any,DMo,CZ05,rNCGF,2473.1000
Any,DMo,CZ05,rNCOH,600.6000
Any,DMo,CZ06,rDXGF,1784.6000
Any,DMo,CZ06,rDXHP,254.9000
Any,DMo,CZ06,rDXOH,433.4000
Any,DMo,CZ06,rNCEH,871.8000
Any,DMo,CZ06,rNCGF,6103.0000
Any,DMo,CZ06,rNCOH,1482.2000
Any,DMo,CZ07,rDXGF,1907.0000
Any,DMo,CZ07,rDXHP,272.4000
Any,DMo,CZ07,rDXOH,463.1000
Any,DMo,CZ07,rNCEH,971.9000
Any,DMo,CZ07,rNCGF,6803.4000
Any,DMo,CZ07,rNCOH,1652.2000
Any,DMo,CZ08,rDXGF,5288.4000
Any,DMo,CZ08,rDXHP,755.5000
Any,DMo,CZ08,rDXOH,1284.4000
Any,DMo,CZ08,rNCEH,230.1000
Any,DMo,CZ08,rNCGF,1610.8000
Any,DMo,CZ08,rNCOH,391.2000
Any,DMo,CZ09,rDXGF,11688.6000
Any,DMo,CZ09,rDXHP,1669.8000
Any,DMo,CZ09,rDXOH,2838.7000
Any,DMo,CZ09,rNCEH,439.6000
Any,DMo,CZ09,rNCGF,3077.1000
Any,DMo,CZ09,rNCOH,747.3000
Any,DMo,CZ10,rDXGF,20474.4000
Any,DMo,CZ10,rDXHP,2924.9000
Any,DMo,CZ10,rDXOH,4972.4000
Any,DMo,CZ10,rNCEH,199.4000
Any,DMo,CZ10,rNCGF,1395.5000
Any,DMo,CZ10,rNCOH,338.9000
Any,DMo,CZ11,rDXGF,31856.9000
Any,DMo,CZ11,rDXHP,4551.0000
Any,DMo,CZ11,rDXOH,7736.7000
Any,DMo,CZ11,rNCEH,357.3000
Any,DMo,CZ11,rNCGF,2501.4000
Any,DMo,CZ11,rNCOH,607.5000
Any,DMo,CZ12,rDXGF,20357.8000
Any,DMo,CZ12,rDXHP,2908.3000
Any,DMo,CZ12,rDXOH,4944.0000
Any,DMo,CZ12,rNCEH,96.8000
Any,DMo,CZ12,rNCGF,677.6000
Any,DMo,CZ12,rNCOH,164.6000
Any,DMo,CZ13,rDXGF,8446.1000
Any,DMo,CZ13,rDXHP,1206.6000
Any,DMo,CZ13,rDXOH,2051.2000
Any,DMo,CZ13,rNCEH,61.6000
Any,DMo,CZ13,rNCGF,431.1000
Any,DMo,CZ13,rNCOH,104.7000
Any,DMo,CZ14,rDXGF,3526.2000
Any,DMo,CZ14,rDXHP,503.7000
Any,DMo,CZ14,rDXOH,856.4000
Any,DMo,CZ14,rNCEH,66.1000
Any,DMo,CZ14,rNCGF,462.7000
Any,DMo,CZ14,rNCOH,112.4000
Any,DMo,CZ15,rDXGF,1906.6000
Any,DMo,CZ15,rDXHP,272.4000
Any,DMo,CZ15,rDXOH,463.0000
Any,DMo,CZ15,rNCEH,0.0000
Any,DMo,CZ15,rNCGF,0.1000
Any,DMo,CZ15,rNCOH,0.0000
Any,DMo,CZ16,rDXGF,5210.6000
Any,DMo,CZ16,rDXHP,744.4000
Any,DMo,CZ16,rDXOH,1265.4000
Any,DMo,CZ16,rNCEH,151.9000
Any,DMo,CZ16,rNCGF,1063.2000
Any,DMo,CZ16,rNCOH,258.2000
Any,MFm,CZ01,rDXGF,240.7000
Any,MFm,CZ01,rDXHP,34.6000
Any,MFm,CZ01,rDXOH,30.0000
Any,MFm,CZ01,rNCEH,1112.2000
Any,MFm,CZ01,rNCGF,7734.8000
Any,MFm,CZ01,rNCOH,964.6000
Any,MFm,CZ02,rDXGF,15232.9000
Any,MFm,CZ02,rDXHP,2190.4000
Any,MFm,CZ02,rDXOH,1899.6000
Any,MFm,CZ02,rNCEH,3543.6000
Any,MFm,CZ02,rNCGF,24643.6000
Any,MFm,CZ02,rNCOH,3073.2000
Any,MFm,CZ03,rDXGF,28336.7000
Any,MFm,CZ03,rDXHP,4074.7000
Any,MFm,CZ03,rDXOH,3533.7000
Any,MFm,CZ03,rNCEH,48107.6000
Any,MFm,CZ03,rNCGF,334557.9000
Any,MFm,CZ03,rNCOH,41721.0000
Any,MFm,CZ04,rDXGF,29779.2000
Any,MFm,CZ04,rDXHP,4282.1000
Any,MFm,CZ04,rDXOH,3713.6000
Any,MFm,CZ04,rNCEH,6339.8000
Any,MFm,CZ04,rNCGF,44089.3000
Any,MFm,CZ04,rNCOH,5498.2000
Any,MFm,CZ05,rDXGF,1492.0000
Any,MFm,CZ05,rDXHP,214.5000
Any,MFm,CZ05,rDXOH,186.1000
Any,MFm,CZ05,rNCEH,1027.4000
Any,MFm,CZ05,rNCGF,7398.1000
Any,MFm,CZ05,rNCOH,922.6000
Any,MFm,CZ06,rDXGF,54612.3000
Any,MFm,CZ06,rDXHP,7853.0000
Any,MFm,CZ06,rDXOH,6810.4000
Any,MFm,CZ06,rNCEH,12640.9000
Any,MFm,CZ06,rNCGF,87909.3000
Any,MFm,CZ06,rNCOH,10962.7000
Any,MFm,CZ07,rDXGF,25193.7000
Any,MFm,CZ07,rDXHP,3622.8000
Any,MFm,CZ07,rDXOH,3141.8000
Any,MFm,CZ07,rNCEH,8622.0000
Any,MFm,CZ07,rNCGF,59960.1000
Any,MFm,CZ07,rNCOH,7477.3000
Any,MFm,CZ08,rDXGF,59447.6000
Any,MFm,CZ08,rDXHP,8548.2000
Any,MFm,CZ08,rDXOH,7413.4000
Any,MFm,CZ08,rNCEH,9136.1000
Any,MFm,CZ08,rNCGF,63535.7000
Any,MFm,CZ08,rNCOH,7923.2000
Any,MFm,CZ09,rDXGF,196574.3000
Any,MFm,CZ09,rDXHP,28266.4000
Any,MFm,CZ09,rDXOH,24513.8000
