PA,bldgtype,bldgloc,bldghvac,wtval
Any,DMo,CZ01,rDXEF,0.01
Any,DMo,CZ01,rDXEH,0.01
Any,DMo,CZ01,rDXGF,0.01
Any,DMo,CZ01,rDXHP,0.01
Any,DMo,CZ01,rDXHW,0.01
Any,DMo,CZ01,rDXOH,103.7
Any,DMo,CZ01,rDXWP,0.01
Any,DMo,CZ01,rEVEF,0.01
Any,DMo,CZ01,rEVEH,0.01
Any,DMo,CZ01,rEVGF,0.01
Any,DMo,CZ01,rEVOH,0.01
Any,DMo,CZ01,rNCEF ,0.01
Any,DMo,CZ01,rNCEH,0.01
Any,DMo,CZ01,rNCGF,0.01
Any,DMo,CZ01,rNCOH,0.01
Any,DMo,CZ02,rDXEF,141.8
Any,DMo,CZ02,rDXEH,0.01
Any,DMo,CZ02,rDXGF,1165.4
Any,DMo,CZ02,rDXHP,501.3
Any,DMo,CZ02,rDXHW,0.01
Any,DMo,CZ02,rDXOH,501.0
Any,DMo,CZ02,rDXWP,0.01
Any,DMo,CZ02,rEVEF,308.1
Any,DMo,CZ02,rEVEH,0.01
Any,DMo,CZ02,rEVGF,335.6
Any,DMo,CZ02,rEVOH,634.6
Any,DMo,CZ02,rNCEF ,99.9
Any,DMo,CZ02,rNCEH,29.3
Any,DMo,CZ02,rNCGF,281.5
Any,DMo,CZ02,rNCOH,817.0
Any,DMo,CZ03,rDXEF,0.01
Any,DMo,CZ03,rDXEH,0.01
Any,DMo,CZ03,rDXGF,4937.3
Any,DMo,CZ03,rDXHP,0.01
Any,DMo,CZ03,rDXHW,0.01
Any,DMo,CZ03,rDXOH,0.01
Any,DMo,CZ03,rDXWP,0.01
Any,DMo,CZ03,rEVEF,0.01
Any,DMo,CZ03,rEVEH,0.01
Any,DMo,CZ03,rEVGF,393.7
Any,DMo,CZ03,rEVOH,0.01
Any,DMo,CZ03,rNCEF ,0.01
Any,DMo,CZ03,rNCEH,0.01
Any,DMo,CZ03,rNCGF,15335.6
Any,DMo,CZ03,rNCOH,0.01
Any,DMo,CZ04,rDXEF,140.0
Any,DMo,CZ04,rDXEH,0.01
Any,DMo,CZ04,rDXGF,3911.2
Any,DMo,CZ04,rDXHP,0.01
Any,DMo,CZ04,rDXHW,0.01
Any,DMo,CZ04,rDXOH,203.1
Any,DMo,CZ04,rDXWP,0.01
Any,DMo,CZ04,rEVEF,121.1
Any,DMo,CZ04,rEVEH,0.01
Any,DMo,CZ04,rEVGF,92.1
Any,DMo,CZ04,rEVOH,65.1
Any,DMo,CZ04,rNCEF ,249.6
Any,DMo,CZ04,rNCEH,0.01
Any,DMo,CZ04,rNCGF,130.2
Any,DMo,CZ04,rNCOH,175.9
Any,DMo,CZ05,rDXEF,0.01
Any,DMo,CZ05,rDXEH,0.01
Any,DMo,CZ05,rDXGF,0.01
Any,DMo,CZ05,rDXHP,0.01
Any,DMo,CZ05,rDXHW,0.01
Any,DMo,CZ05,rDXOH,0.01
Any,DMo,CZ05,rDXWP,0.01
Any,DMo,CZ05,rEVEF,0.01
Any,DMo,CZ05,rEVEH,0.01
Any,DMo,CZ05,rEVGF,0.01
Any,DMo,CZ05,rEVOH,80.9
Any,DMo,CZ05,rNCEF ,0.01
Any,DMo,CZ05,rNCEH,0.01
Any,DMo,CZ05,rNCGF,0.01
Any,DMo,CZ05,rNCOH,0.01
Any,DMo,CZ06,rDXEF,84.0
Any,DMo,CZ06,rDXEH,0.01
Any,DMo,CZ06,rDXGF,845.9
Any,DMo,CZ06,rDXHP,52.8
Any,DMo,CZ06,rDXHW,0.01
Any,DMo,CZ06,rDXOH,54.3
Any,DMo,CZ06,rDXWP,0.01
Any,DMo,CZ06,rEVEF,0.01
Any,DMo,CZ06,rEVEH,0.01
Any,DMo,CZ06,rEVGF,63.0
Any,DMo,CZ06,rEVOH,0.01
Any,DMo,CZ06,rNCEF ,0.01
Any,DMo,CZ06,rNCEH,0.01
Any,DMo,CZ06,rNCGF,370.5
Any,DMo,CZ06,rNCOH,105.7
Any,DMo,CZ07,rDXEF,124.0
Any,DMo,CZ07,rDXEH,0.01
Any,DMo,CZ07,rDXGF,795.8
Any,DMo,CZ07,rDXHP,0.01
Any,DMo,CZ07,rDXHW,0.01
Any,DMo,CZ07,rDXOH,95.1
Any,DMo,CZ07,rDXWP,0.01
Any,DMo,CZ07,rEVEF,0.01
Any,DMo,CZ07,rEVEH,0.01
Any,DMo,CZ07,rEVGF,0.01
Any,DMo,CZ07,rEVOH,0.01
Any,DMo,CZ07,rNCEF ,0.01
Any,DMo,CZ07,rNCEH,0.01
Any,DMo,CZ07,rNCGF,0.01
Any,DMo,CZ07,rNCOH,0.01
Any,DMo,CZ08,rDXEF,80.1
Any,DMo,CZ08,rDXEH,0.01
Any,DMo,CZ08,rDXGF,5580.0
Any,DMo,CZ08,rDXHP,0.01
Any,DMo,CZ08,rDXHW,0.01
Any,DMo,CZ08,rDXOH,784.4
Any,DMo,CZ08,rDXWP,0.01
Any,DMo,CZ08,rEVEF,0.01
Any,DMo,CZ08,rEVEH,0.01
Any,DMo,CZ08,rEVGF,0.01
Any,DMo,CZ08,rEVOH,0.01
Any,DMo,CZ08,rNCEF ,0.01
Any,DMo,CZ08,rNCEH,3273.6
Any,DMo,CZ08,rNCGF,242.8
Any,DMo,CZ08,rNCOH,179.5
Any,DMo,CZ09,rDXEF,0.01
Any,DMo,CZ09,rDXEH,0.01
Any,DMo,CZ09,rDXGF,14886.5
Any,DMo,CZ09,rDXHP,67.5
Any,DMo,CZ09,rDXHW,0.01
Any,DMo,CZ09,rDXOH,642.0
Any,DMo,CZ09,rDXWP,0.01
Any,DMo,CZ09,rEVEF,0.01
Any,DMo,CZ09,rEVEH,0.01
Any,DMo,CZ09,rEVGF,0.01
Any,DMo,CZ09,rEVOH,0.01
Any,DMo,CZ09,rNCEF ,0.01
Any,DMo,CZ09,rNCEH,0.01
Any,DMo,CZ09,rNCGF,149.1
Any,DMo,CZ09,rNCOH,7575.0
Any,DMo,CZ10,rDXEF,807.2
Any,DMo,CZ10,rDXEH,1830.0
Any,DMo,CZ10,rDXGF,23504.1
Any,DMo,CZ10,rDXHP,364.2
Any,DMo,CZ10,rDXHW,0.01
Any,DMo,CZ10,rDXOH,1710.9
Any,DMo,CZ10,rDXWP,0.01
Any,DMo,CZ10,rEVEF,0.01
Any,DMo,CZ10,rEVEH,0.01
Any,DMo,CZ10,rEVGF,320.1
Any,DMo,CZ10,rEVOH,8285.4
Any,DMo,CZ10,rNCEF ,98.2
Any,DMo,CZ10,rNCEH,0.01
Any,DMo,CZ10,rNCGF,636.5
Any,DMo,CZ10,rNCOH,1437.2
Any,DMo,CZ11,rDXEF,331.4
Any,DMo,CZ11,rDXEH,43.7
Any,DMo,CZ11,rDXGF,847.2
Any,DMo,CZ11,rDXHP,533.1
