BldgType,VintYear,BldgLoc,numstor
SFm,1975,CZ01,1.48
SFm,1975,CZ02,1.48
SFm,1975,CZ03,1.48
SFm,1975,CZ04,1.48
SFm,1975,CZ05,1.48
SFm,1975,CZ06,1.55
SFm,1975,CZ07,1.55
SFm,1975,CZ08,1.55
SFm,1975,CZ09,1.33
SFm,1975,CZ10,1.33
SFm,1975,CZ11,1.26
SFm,1975,CZ12,1.26
SFm,1975,CZ13,1.26
SFm,1975,CZ14,1.08
SFm,1975,CZ15,1.08
SFm,1975,CZ16,1.48
SFm,1985,CZ01,1.31
SFm,1985,CZ02,1.31
SFm,1985,CZ03,1.31
SFm,1985,CZ04,1.31
SFm,1985,CZ05,1.31
SFm,1985,CZ06,1.62
SFm,1985,CZ07,1.62
SFm,1985,CZ08,1.62
SFm,1985,CZ09,1.42
SFm,1985,CZ10,1.42
SFm,1985,CZ11,1.23
SFm,1985,CZ12,1.23
SFm,1985,CZ13,1.23
SFm,1985,CZ14,1.12
SFm,1985,CZ15,1.12
SFm,1985,CZ16,1.31
SFm,1996,CZ01,1.7
SFm,1996,CZ02,1.7
SFm,1996,CZ03,1.7
SFm,1996,CZ04,1.7
SFm,1996,CZ05,1.7
SFm,1996,CZ06,1.8
SFm,1996,CZ07,1.8
SFm,1996,CZ08,1.8
SFm,1996,CZ09,1.8
SFm,1996,CZ10,1.8
SFm,1996,CZ11,1.4
SFm,1996,CZ12,1.4
SFm,1996,CZ13,1.4
SFm,1996,CZ14,1.2
SFm,1996,CZ15,1.2
SFm,1996,CZ16,1.7
SFm,2003,CZ01,1.7
SFm,2003,CZ02,1.4
SFm,2003,CZ03,1.7
SFm,2003,CZ04,1.7
SFm,2003,CZ05,1.7
SFm,2003,CZ06,1.8
SFm,2003,CZ07,1.8
SFm,2003,CZ08,1.8
SFm,2003,CZ09,1.8
SFm,2003,CZ10,1.4
SFm,2003,CZ11,1.4
SFm,2003,CZ12,1.4
SFm,2003,CZ13,1.4
SFm,2003,CZ14,1.2
SFm,2003,CZ15,1.2
SFm,2003,CZ16,1.7
SFm,2007,CZ01,1.7
SFm,2007,CZ02,1.4
SFm,2007,CZ03,1.7
SFm,2007,CZ04,1.7
SFm,2007,CZ05,1.7
SFm,2007,CZ06,1.8
SFm,2007,CZ07,1.8
SFm,2007,CZ08,1.8
SFm,2007,CZ09,1.8
SFm,2007,CZ10,1.4
SFm,2007,CZ11,1.4
SFm,2007,CZ12,1.4
SFm,2007,CZ13,1.4
SFm,2007,CZ14,1.2
SFm,2007,CZ15,1.2
SFm,2007,CZ16,1.7
SFm,2011,CZ01,1.7
SFm,2011,CZ02,1.4
SFm,2011,CZ03,1.7
SFm,2011,CZ04,1.7
SFm,2011,CZ05,1.7
SFm,2011,CZ06,1.8
SFm,2011,CZ07,1.8
SFm,2011,CZ08,1.8
SFm,2011,CZ09,1.8
SFm,2011,CZ10,1.4
SFm,2011,CZ11,1.4
SFm,2011,CZ12,1.4
SFm,2011,CZ13,1.4
SFm,2011,CZ14,1.2
SFm,2011,CZ15,1.2
SFm,2011,CZ16,1.7
SFm,2014,CZ01,1.7
SFm,2014,CZ02,1.4
SFm,2014,CZ03,1.7
SFm,2014,CZ04,1.7
SFm,2014,CZ05,1.7
SFm,2014,CZ06,1.8
SFm,2014,CZ07,1.8
SFm,2014,CZ08,1.8
SFm,2014,CZ09,1.8
SFm,2014,CZ10,1.4
SFm,2014,CZ11,1.4
SFm,2014,CZ12,1.4
SFm,2014,CZ13,1.4
SFm,2014,CZ14,1.2
SFm,2014,CZ15,1.2
SFm,2014,CZ16,1.7
SFm,2015,CZ01,1.7
SFm,2015,CZ02,1.4
SFm,2015,CZ03,1.7
SFm,2015,CZ04,1.7
SFm,2015,CZ05,1.7
SFm,2015,CZ06,1.8
SFm,2015,CZ07,1.8
SFm,2015,CZ08,1.8
SFm,2015,CZ09,1.8
SFm,2015,CZ10,1.4
SFm,2015,CZ11,1.4
SFm,2015,CZ12,1.4
SFm,2015,CZ13,1.4
SFm,2015,CZ14,1.2
SFm,2015,CZ15,1.2
SFm,2015,CZ16,1.7
SFm,2017,CZ01,1.7
SFm,2017,CZ02,1.4
SFm,2017,CZ03,1.7
SFm,2017,CZ04,1.7
SFm,2017,CZ05,1.7
SFm,2017,CZ06,1.8
SFm,2017,CZ07,1.8
SFm,2017,CZ08,1.8
SFm,2017,CZ09,1.8
SFm,2017,CZ10,1.4
SFm,2017,CZ11,1.4
SFm,2017,CZ12,1.4
SFm,2017,CZ13,1.4
SFm,2017,CZ14,1.2
SFm,2017,CZ15,1.2
SFm,2017,CZ16,1.7
SFm,2020,CZ01,1.7
SFm,2020,CZ02,1.4
SFm,2020,CZ03,1.7
SFm,2020,CZ04,1.7
SFm,2020,CZ05,1.7
SFm,2020,CZ06,1.8
SFm,2020,CZ07,1.8
SFm,2020,CZ08,1.8
SFm,2020,CZ09,1.8
SFm,2020,CZ10,1.4
SFm,2020,CZ11,1.4
SFm,2020,CZ12,1.4
SFm,2020,CZ13,1.4
SFm,2020,CZ14,1.2
SFm,2020,CZ15,1.2
SFm,2020,CZ16,1.7
SFm,New,CZ01,1.7
SFm,New,CZ02,1.4
SFm,New,CZ03,1.7
SFm,New,CZ04,1.7
SFm,New,CZ05,1.7
SFm,New,CZ06,1.8
SFm,New,CZ07,1.8
SFm,New,CZ08,1.8
SFm,New,CZ09,1.8
SFm,New,CZ10,1.4
SFm,New,CZ11,1.4
SFm,New,CZ12,1.4
SFm,New,CZ13,1.4
SFm,New,CZ14,1.2
SFm,New,CZ15,1.2
SFm,New,CZ16,1.7
