skip,climate,hz_cz,weather_file,climate_zone,codes_file
,CZ01,,CZ01-CA_ARCATA-AP_725945_CZ2025.epw,1,T24_2022_SFm.csv
,CZ02,,CZ02-CA_SANTA-ROSA(AWOS)_724957_CZ2025.epw,2,T24_2022_SFm.csv
,CZ03,,CZ03-CA_OAKLAND-METRO-AP_724930_CZ2025.epw,3,T24_2022_SFm.csv
,CZ04,,	CZ04-CA_PASO-ROBLES-MUNI-AP_723965_CZ2025.epw,4,T24_2022_SFm.csv
,CZ05,,CZ05-CA_SANTA-MARIA-PUBLIC-AP_723940_CZ2025.epw,5,T24_2022_SFm.csv
,CZ06,,CZ06-CA_LOS-ANGELES-IAP_722950_CZ2025.epw,6,T24_2022_SFm.csv
,CZ07,,CZ07-CA_SAN-DIEGO-LINDBERGH-FIELD_722900_CZ2025.epw,7,T24_2022_SFm.csv
,CZ08,,CZ08-CA_FULLERTON-MUNI-AP_722976_CZ2025.epw,8,T24_2022_SFm.csv
,CZ09,,CZ09-CA_BURBANK-GLNDLE-PASAD-AP_722880_CZ2025.epw,9,T24_2022_SFm.csv
,CZ10,,CZ10-CA_RIVERSIDE-MUNI_722869_CZ2025.epw,10,T24_2022_SFm.csv
,CZ11,,CZ11-CA_RED-BLUFF-MUNI-AP_725910_CZ2025.epw,11,T24_2022_SFm.csv
,CZ12,,CZ12-CA_SACRAMENTO-EXECUTIVE-AP_724830_CZ2025.epw,12,T24_2022_SFm.csv
,CZ13,,CZ13-CA_FRESNO-YOSEMITE-IAP_723890_CZ2025.epw,13,T24_2022_SFm.csv
,CZ14,,CZ14-CA_PALMDALE-AP_723820_CZ2025.epw,14,T24_2022_SFm.csv
,CZ15,,CZ15-CA_PALM-SPRINGS-IAP_722868_CZ2025.epw,15,T24_2022_SFm.csv
,CZ16,,CZ16-CA_BLUE-CANYON-AP_725845_CZ2025.epw,16,T24_2022_SFm.csv
