skip,climate,weather_file,climate_zone,codes_file
,CZ01,CA_CZ01_ARCATA-AP_725945_CZ2025.epw,1,
,CZ02,CA_CZ02_SANTA-ROSA(AWOS)_724957_CZ2025.epw,2,
,CZ03,CA_CZ03_OAKLAND-METRO-AP_724930_CZ2025.epw,3,
,CZ04,CA_CZ04_PASO-ROBLES-MUNI-AP_723965_CZ2025.epw,4,
,CZ05,CA_CZ05_SANTA-MARIA-PUBLIC-AP_723940_CZ2025.epw,5,
,CZ06,CA_CZ06_LOS-ANGELES-IAP_722950_CZ2025.epw,6,
,CZ07,CA_CZ07_SAN-DIEGO-LINDBERGH-FIELD_722900_CZ2025.epw,7,
,CZ08,CA_CZ08_FULLERTON-MUNI-AP_722976_CZ2025.epw,8,
,CZ09,CA_CZ09_BURBANK-GLNDLE-PASAD-AP_722880_CZ2025.epw,9,
,CZ10,CA_CZ10_RIVERSIDE-MUNI_722869_CZ2025.epw,10,
,CZ11,CA_CZ11_RED-BLUFF-MUNI-AP_725910_CZ2025.epw,11,
,CZ12,CA_CZ12_SACRAMENTO-EXECUTIVE-AP_724830_CZ2025.epw,12,
,CZ13,CA_CZ13_FRESNO-YOSEMITE-IAP_723890_CZ2025.epw,13,
,CZ14,CA_CZ14_PALMDALE-AP_723820_CZ2025.epw,14,
,CZ15,CA_CZ15_PALM-SPRINGS-IAP_722868_CZ2025.epw,15,
,CZ16,CA_CZ16_BLUE-CANYON-AP_725845_CZ2025.epw,16,
